,22.03.2026 19:02:06,22.03.2026 19:26:56,23.03.2026 05:06:30,24.03.2026 04:56:25,25.03.2026 04:56:50,26.03.2026 05:09:35,27.03.2026 05:10:10,28.03.2026 04:55:35,29.03.2026 05:13:23,30.03.2026 05:28:23,31.03.2026 05:11:56,01.04.2026 05:27:52,02.04.2026 05:05:54,03.04.2026 05:07:27,04.04.2026 04:52:59,05.04.2026 05:14:55,06.04.2026 05:27:36,07.04.2026 05:12:04,08.04.2026 05:14:04,09.04.2026 05:12:26,10.04.2026 05:28:28,11.04.2026 04:58:42,12.04.2026 05:26:41,13.04.2026 05:45:04,14.04.2026 05:26:58,15.04.2026 05:27:20,16.04.2026 05:33:38,17.04.2026 05:31:22,18.04.2026 05:09:36,19.04.2026 05:32:27,20.04.2026 05:44:45,21.04.2026 05:30:02,22.04.2026 05:29:41,23.04.2026 05:33:31,24.04.2026 05:38:34,25.04.2026 05:14:18,26.04.2026 05:42:43,27.04.2026 05:58:03
26.04.2026 - 07.05.2026,21604,21604,21604,21504,21504,21504,21404,21404,21404,21404,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.04.2026 - 08.05.2026,,,,,20754,20754,20754,20554,20554,20554,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.04.2026 - 09.05.2026,,,,18832,18453,18382,18463,18463,18463,18463,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.05.2026 - 13.05.2026,,,,,,,18303,18303,18303,18303,,,,,18603,18532,18532,18532,18382,18463,18463,18382,18382,18382,18382,17881,,,,,,,,,,,,
12.05.2026 - 23.05.2026,,,,,,,,,,,,,,18253,18253,18253,18253,18253,18182,,18182,18103,18103,18103,18253,17753,17832,17852,,,,,,,,,,
23.05.2026 - 03.06.2026,17852,17852,17852,17852,17652,17652,17652,17581,17581,17581,17581,17381,17462,17462,17381,17381,17381,17381,17381,17381,17381,17381,17302,17381,17731,17731,17731,17731,17652,17652,17652,17652,17731,17731,17652,17831,18002,17997
28.05.2026 - 08.06.2026,16252,16252,16252,16252,16052,16131,16131,16052,16231,16231,16431,16131,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2026 - 13.06.2026,14901,14901,15061,15061,15061,14980,14980,14830,14830,14830,14830,14830,14830,14930,14930,14930,14930,14930,14851,14851,14851,14851,15130,15130,15361,15201,15201,15201,15130,15151,15151,15080,15080,15080,15080,15230,15251,15247
04.06.2026 - 15.06.2026,14780,14780,14861,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,14880,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15130,15280,15280,15276
09.06.2026 - 20.06.2026,14830,14830,14830,14830,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14680,14761,14761,14980,14980,14980,14980,15061,15061,15061,15061,14980,14980,14980,15280,15280,15276
13.06.2026 - 24.06.2026,14861,14861,14861,14951,14880,14880,14880,14801,14801,14801,14801,14801,14880,14880,14880,14880,14880,14880,14801,14801,14801,14801,14801,14801,15030,15030,15030,15030,15030,15051,15051,15051,15051,15051,15051,15361,15361,15376
16.06.2026 - 27.06.2026,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,14780,15001,15001,15001,15001,15001,15001,15001,15001,15080,15080,15080,15301,15301,15296
20.06.2026 - 01.07.2026,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,15001,15001,15001,15230,15230,15080,15080,15080,15080,15080,15080,15080,15161,15161,15501,15501,15497
23.06.2026 - 04.07.2026,14661,14661,14661,14661,14661,14661,14661,14580,14580,14580,14580,14580,14661,14661,14661,14661,14661,14661,14661,14830,14751,14751,14751,14751,15080,15080,15001,15001,15001,15001,15001,15080,15080,15080,15001,15501,15501,15497
25.06.2026 - 06.07.2026,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,14830,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15051,15361,15361,15357
27.06.2026 - 08.07.2026,15681,15681,15681,15681,15681,15681,15762,15762,15762,15762,15762,15762,15681,15681,15681,15681,15681,15681,15681,15681,15681,15681,15681,15681,15931,15931,15931,15931,15931,15931,15931,15931,15931,15931,15931,16262,16262,16257
30.06.2026 - 11.07.2026,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,14801,15030,15030,15030,15030,15030,14951,14951,14951,14951,14951,14951,15251,15251,15326
02.07.2026 - 13.07.2026,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14601,14680,14901,14980,14901,14901,14901,14901,14901,14830,14830,14930,14930,15230,15230,15226
04.07.2026 - 15.07.2026,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15530,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780,15780,16231,16231,16226
07.07.2026 - 18.07.2026,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15531,15526
09.07.2026 - 20.07.2026,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15330,15326
11.07.2026 - 22.07.2026,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15630,15730,15730,15730,15730,15730,15730,15730,15730,15730,15730,15726
14.07.2026 - 25.07.2026,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15461,15630,15852,15852,15852,15852,15702,15702,15551,15551,15551,15551,15551,15551,15551,15551,15551,15551,15551,15547
