,22.03.2026 19:03:26,22.03.2026 19:27:44,23.03.2026 05:08:01,24.03.2026 04:58:04,25.03.2026 04:58:05,26.03.2026 05:11:06,27.03.2026 05:11:41,28.03.2026 04:56:54,29.03.2026 05:14:41,30.03.2026 05:29:54,31.03.2026 05:13:18,01.04.2026 05:29:31,02.04.2026 05:07:14,03.04.2026 05:08:48,04.04.2026 04:54:32,05.04.2026 05:16:17,06.04.2026 05:28:57,07.04.2026 05:13:20,08.04.2026 05:15:20,09.04.2026 05:13:43,10.04.2026 05:30:06,11.04.2026 05:00:15,12.04.2026 05:28:02,13.04.2026 05:46:32,14.04.2026 05:28:30,15.04.2026 05:28:43,16.04.2026 05:34:53,17.04.2026 05:32:51,18.04.2026 05:10:55,19.04.2026 05:34:01,20.04.2026 05:46:03,21.04.2026 05:31:22,22.04.2026 05:32:06,23.04.2026 05:34:52,24.04.2026 05:40:03,25.04.2026 05:15:34,26.04.2026 05:44:10
13.05.2026 - 28.05.2026,12873,12873,13573,13573,13280,13280,13329,13300,12729,13329,13573,13691,13691,13671,13720,13220,13720,13720,13720,13426,13035,13035,12535,13065,13359,13457,13496,13496,13475,12631,13231,12283,12322,12595,,13153,13153
11.06.2026 - 26.06.2026,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14232,14456,14456,14456,14456,14456,14456,14456,14456,14456,,,,
25.06.2026 - 10.07.2026,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15302,15302,15302,15302,15302,15302,15302,15302,15302,15302,15302,15627,15627
09.07.2026 - 24.07.2026,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,19048,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18441,18558
23.07.2026 - 07.08.2026,18616,18616,18616,18616,18616,18616,18616,18616,18616,18616,18616,18616,18616,18616,19158,19158,19158,19158,19158,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644,18644
06.08.2026 - 21.08.2026,18558,18558,18558,18558,18558,18558,18558,18558,18558,18558,18558,18558,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496,19496
20.08.2026 - 04.09.2026,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078,15078
03.09.2026 - 18.09.2026,17353,17353,17353,17353,17471,17471,17471,17471,17471,17471,17471,17471,17471,17471,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806,15806
17.09.2026 - 02.10.2026,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330
01.10.2026 - 16.10.2026,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162,14162
15.10.2026 - 30.10.2026,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330,14330
