,22.03.2026 19:02:37,22.03.2026 19:27:16,23.03.2026 05:07:05,24.03.2026 04:57:04,25.03.2026 04:57:20,26.03.2026 05:10:11,27.03.2026 05:10:46,28.03.2026 04:56:06,29.03.2026 05:13:54,30.03.2026 05:28:59,31.03.2026 05:12:29,01.04.2026 05:28:31,02.04.2026 05:06:27,03.04.2026 05:08:01,04.04.2026 04:53:37,05.04.2026 05:15:28,06.04.2026 05:28:08,07.04.2026 05:12:34,08.04.2026 05:14:35,09.04.2026 05:12:57
01.11.2026 - 16.11.2026,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894,12894
08.11.2026 - 23.11.2026,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643,12643
15.11.2026 - 30.11.2026,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691,12691
22.11.2026 - 07.12.2026,12441,12441,12441,12701,12701,12701,12923,12663,12663,12663,12663,12663,12663,12663,12663,12663,12663,12663,12663,12663
29.11.2026 - 14.12.2026,11734,11734,11734,11734,11734,11734,11734,11734,11734,11734,11871,11871,11871,11734,11734,11734,11734,11734,11734,11734
06.12.2026 - 21.12.2026,11531,11531,11531,11531,11531,11531,11531,11531,11531,11531,11668,11668,11668,11531,11531,11531,11531,11531,11531,11531
13.12.2026 - 28.12.2026,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482,13482
20.12.2026 - 04.01.2027,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025,14025
27.12.2026 - 11.01.2027,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661,13661
03.01.2027 - 18.01.2027,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122,13122
10.01.2027 - 25.01.2027,12819,12819,12819,12819,12819,12819,12956,12956,12956,12956,12956,12956,12819,12956,12956,12956,12956,12956,12819,12819
17.01.2027 - 01.02.2027,13726,13726,13726,13590,13590,13726,13726,13726,13726,13726,13726,13726,13726,13726,13726,13726,13726,13726,13726,13726
24.01.2027 - 08.02.2027,14467,14467,14467,14467,14467,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590,14590
31.01.2027 - 15.02.2027,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627,14627
07.02.2027 - 22.02.2027,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482,14482
14.02.2027 - 01.03.2027,14022,14022,14022,14022,14022,14022,14022,14169,14169,14169,14169,14169,14022,14022,14022,14022,14022,14022,14022,14022
21.02.2027 - 08.03.2027,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529,13529
28.02.2027 - 15.03.2027,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837
07.03.2027 - 22.03.2027,12509,12509,12509,12509,12509,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578,12578
14.03.2027 - 29.03.2027,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246,12246
