,16.03.2025 22:28:08,17.03.2025 03:37:13,17.03.2025 21:19:43,18.03.2025 03:37:00,19.03.2025 03:36:30
27.03 - 08.04,,,,,7269
30.10 - 10.11,7926,7926,7926,7926,
09.11 - 21.11,,,,,8723
20.11 - 01.12,7798,7798,7798,7928,
30.11 - 12.12,,,,,8101
11.12 - 22.12,9958,9958,7667,7667,
21.12 - 02.01,,,,,9875
01.01 - 12.01,8505,8505,8334,8334,
11.01 - 23.01,,,,,8458
22.01 - 02.02,,,8579,8579,
01.02 - 13.02,,,,,8844
12.02 - 23.02,8497,8497,8497,8497,
22.02 - 06.03,,,,,8902
05.03 - 16.03,,,8059,8059,
15.03 - 27.03,,,,,8284
